!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:19:37' objTablesVersion='1.0.5'							
!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!UseAsPriorInformation
product catalytic rate constant	380.0		0	1/s		R20	False
product catalytic rate constant	44.7333		0	1/s		R26r	False
product catalytic rate constant	1.7		0	1/s		R27	False
product catalytic rate constant	0.666667		0	1/s		R42	False
product catalytic rate constant	15.7		0	1/s		R54ra	False
product catalytic rate constant	0.0121		0	1/s		R61r	False
equilibrium constant	0.361009		0	dimensionless		R2r	False
equilibrium constant	0.000205531		0	dimensionless		R5r	False
equilibrium constant	9.17058		0	dimensionless		R6r	False
equilibrium constant	0.0925742		0	dimensionless		R7ra	False
equilibrium constant	1738.93		0	dimensionless		R7rb	False
equilibrium constant	0.183977		0	dimensionless		R7rc	False
equilibrium constant	5.20844		0	dimensionless		R8r	False
equilibrium constant	3.90244		0	dimensionless		R11r	False
equilibrium constant	2.2071		0	dimensionless		R12r	False
equilibrium constant	4.62899		0	dimensionless		R13r	False
equilibrium constant	1.34182		0	dimensionless		R14r	False
equilibrium constant	57.1984		0	dimensionless		R15r	False
equilibrium constant	0.0459076		0	dimensionless		R23r	False
equilibrium constant	0.448339		0	dimensionless		R26r	False
equilibrium constant	4.02687		0	dimensionless		R28r	False
equilibrium constant	6.08e-06		0	dimensionless		R29r	False
equilibrium constant	52000.6		0	dimensionless		R53r	False
equilibrium constant	0.00083365		0	dimensionless		R54ra	False
equilibrium constant	4993.03		0	dimensionless		R54rb	False
equilibrium constant	0.00191867		0	dimensionless		R61r	False
