!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
EX_5fthf_e,R_EX_5fthf_e,M_5fthf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5homeprazole_e,R_EX_5homeprazole_e,M_5homeprazole_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5htrp_e,R_EX_5htrp_e,M_5htrp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5mthf_e,R_EX_5mthf_e,M_5mthf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5thf_e,R_EX_5thf_e,M_5thf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_6dhf_e,R_EX_6dhf_e,M_6dhf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_6htststerone_e,R_EX_6htststerone_e,M_6htststerone_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_6thf_e,R_EX_6thf_e,M_6thf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_7dhf_e,R_EX_7dhf_e,M_7dhf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_7thf_e,R_EX_7thf_e,M_7thf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
